"","rbd","alu_no_vul","mrun","ptje_mate4b_alu","ptje_lect4b_alu","PRIORITARIO_ALU","PREFERENTE_ALU","BEN_SEP","latitud_gps","longitud_gps","sep","latitud","longitud","zona"
"1",5569,0,4204709,210.57,207.26,1,0,1,-38.73976459,-72.62034094,1,706824.554571209,5709412.76156946,4
"2",5569,0,5940134,266.79,274.1,1,0,1,-38.7379861,-72.58503908,1,709898.367792805,5709529.75828337,4
"3",5569,0,5953633,205.62,247.18,1,0,1,-38.7388298,-72.59226358,1,709267.899364293,5709452.66688508,4
"4",5569,0,10940939,222.01,221.04,1,0,1,-38.73825328,-72.59431193,1,709091.526740716,5709521.33645167,4
"5",5569,0,11053992,277.51,304.76,1,0,1,-38.73694329,-72.62143349,1,706737.724367434,5709728.3584512,4
"6",5569,0,11703315,315.59,336.83,0,1,1,-38.73982459,-72.62641048,1,706296.790591292,5709419.80520721,4
"7",5569,0,12799989,245.11,192.44,0,1,1,-38.73892514,-72.58235677,1,710128.779706907,5709419.3794985,4
"8",5569,0,14156666,269.69,269.35,1,0,1,-38.735938,-72.59337008,1,709180.156664648,5709776.15080337,4
"9",5569,0,14996511,256.11,295.42,0,1,1,-38.73953327,-72.58699216,1,709724.064046195,5709362.520246,4
"10",5569,0,17594346,312,293.5,1,0,1,-38.7437946,-72.61425608,1,707341.815905434,5708951.70937863,4
"11",5569,0,17971530,196.85,218.52,1,0,1,-38.72897936,-72.62544888,1,706411.608583091,5710621.31501654,4
"12",5569,0,18873769,247.97,259.82,1,0,1,-38.73305727,-72.6219423,1,706704.702069782,5710160.80553154,4
"13",5569,0,19624959,269.38,355.47,0,1,1,-38.7369618,-72.62317708,1,706586.104458487,5709730.24217556,4
"14",5569,0,19704384,227.47,264.66,1,0,1,-38.73217529,-72.6200461,1,706872.089237967,5710254.40879816,4
"15",5569,0,23996337,234.91,326.47,1,0,1,-38.74233493,-72.60563747,1,708095.182399305,5709094.14585723,4
"16",5569,0,24873974,190.36,261.8,0,1,1,-38.73068234,-72.62451563,1,706487.837403551,5710430.2013035,4
"17",5569,1,9138082,307.56,270.9,0,0,0,-38.73860067,-72.58502715,0,709897.604696083,5709461.52122022,4
"18",5569,1,25638170,254.88,200,0,0,0,-38.72638916,-72.61890324,0,706988.149026144,5710894.00935194,4
"19",5569,1,5418269,227.85,272.02,0,0,0,-38.73260392,-72.62282226,0,706629.511812837,5710213.10881456,4
"20",5569,1,25501377,227.71,226.68,0,0,0,-38.7375316,-72.62413754,0,706500.971871176,5709669.16987441,4
"21",5569,1,190508,216.17,189.67,0,0,0,-38.73819557,-72.5896652,0,709495.620314559,5709517.11224953,4
"22",5569,1,24874597,278.5,305.5,0,0,0,-38.74683301,-72.63033777,0,705935.268908974,5708650.80978046,4
"23",5575,0,1044175,237.78,316.37,1,0,1,-38.73830241,-72.61503276,1,707290.19509893,5709563.03205875,4
"24",5575,0,1448606,171.12,230.47,0,1,1,-38.74029838,-72.60853522,1,707849.213050034,5709326.76417669,4
"25",5575,0,2482519,286.83,252.23,1,0,1,-38.73701033,-72.60752939,1,707946.185023769,5709689.41040379,4
"26",5575,0,2542763,164.64,161.43,1,0,1,-38.7289274,-72.61573282,1,707256.449343754,5710605.12260473,4
"27",5575,0,4358111,227.03,188.3,1,0,1,-38.74219841,-72.61291484,1,707463.017830942,5709125.8254922,4
"28",5575,0,5358932,245.7,313.02,1,0,1,-38.73099033,-72.62350847,1,706574.507712851,5710393.74541851,4
"29",5575,0,5711475,223.46,212.64,1,0,1,-38.73280287,-72.62079277,1,706805.367719579,5710186.44332379,4
"30",5575,0,6180126,281.1,266.83,0,1,1,-38.74412601,-72.61571433,1,707214.106842849,5708918.23105702,4
"31",5575,0,6691734,191.36,271.36,1,0,1,-38.73544756,-72.59548434,1,708997.795401578,5709835.41481886,4
"32",5575,0,7358178,199.14,290.67,0,1,1,-38.74513859,-72.6276345,1,706175.101912588,5708832.77951851,4
"33",5575,0,7394292,236.34,270.95,1,0,1,-38.74564099,-72.63352716,1,705661.482707477,5708790.28337013,4
"34",5575,0,7445054,217.35,185.64,1,0,1,-38.73420651,-72.62331194,1,706582.323280978,5710036.3478934,4
"35",5575,0,9042999,252.05,288.54,1,0,1,-38.73593663,-72.59431578,1,709097.951455231,5709778.46441736,4
"36",5575,0,11606807,259.47,209.6,1,0,1,-38.73670818,-72.59536965,1,709004.088943563,5709695.23984365,4
"37",5575,0,11959421,224.95,236.8,1,0,1,-38.73703724,-72.58131236,1,710225.104437777,5709626.51407551,4
"38",5575,0,12190006,153.71,176.2,1,0,1,-38.73760263,-72.62598571,1,706340.111278876,5709665.45594382,4
"39",5575,0,13663295,259.72,348.53,1,0,1,-38.74215282,-72.63087604,1,705901.934684098,5709171.46143056,4
"40",5575,0,13860951,230.36,269.58,0,1,1,-38.74003491,-72.62882896,1,706085.961058029,5709401.91273952,4
"41",5575,0,15916030,340.03,293.46,0,1,1,-38.7386125,-72.62512558,1,706411.971005565,5709551.4334914,4
"42",5575,0,16425667,262,310.75,0,1,1,-38.73477857,-72.60963724,1,707769.42389096,5709941.8955305,4
"43",5575,0,16873257,338.49,325.76,0,1,1,-38.73699272,-72.62063182,1,706807.269197143,5709721.0607306,4
"44",5575,0,17556655,216.93,269.5,1,0,1,-38.74059825,-72.61273649,1,707483.153781503,5709303.01837103,4
"45",5575,0,17933781,240.13,278.38,1,0,1,-38.74459219,-72.59322618,1,709167.401933736,5708815.31440105,4
"46",5575,0,18705251,314.4,310.15,0,1,1,-38.74573207,-72.63407062,1,705613.985320911,5708781.39628649,4
"47",5575,0,19255832,262.55,324.83,0,1,1,-38.73452882,-72.59694157,1,708873.795929763,5709940.71084464,4
"48",5575,0,19734596,315.7,242.09,1,0,1,-38.7321599,-72.61864071,1,706994.309426702,5710252.93881487,4
"49",5575,0,20759602,230.69,262.94,1,0,1,-38.73249984,-72.60739569,1,707970.895395542,5710189.71328816,4
"50",5575,0,20852940,184.52,252.22,1,0,1,-38.74140414,-72.60951517,1,707760.825738247,5709206.26464907,4
"51",5575,0,22903812,212.5,188.52,0,1,1,-38.74341707,-72.63022227,1,705955.127237388,5709029.67463981,4
"52",5575,0,23302430,174.32,154.43,0,1,1,-38.73607943,-72.62225851,1,706668.498302826,5709826.09942966,4
"53",5575,0,23778474,259.06,321.59,1,0,1,-38.74318037,-72.6148198,1,707294.594676101,5709021.15852164,4
"54",5575,0,23827551,221.36,193.25,0,1,1,-38.74408656,-72.61396184,1,707366.546121383,5708918.63863737,4
"55",5575,0,23840811,157.97,206.23,1,0,1,-38.74117781,-72.61266994,1,707487.260320884,5709238.54369262,4
"56",5575,0,24175614,295.68,242.11,0,1,1,-38.74521513,-72.62220173,1,706647.08594096,5708812.02676786,4
"57",5575,0,24721706,169.69,217.95,1,0,1,-38.74377008,-72.61402658,1,707361.834931738,5708953.91062418,4
"58",5575,0,24817277,263.82,306.46,0,1,1,-38.73758565,-72.62486496,1,706437.583648007,5709664.81247673,4
"59",5575,1,11569745,204.11,214.11,0,0,0,-38.7311511,-72.56257448,0,711871.359321081,5710236.58558104,11
"60",5578,0,127770,247.21,279.36,1,0,1,-38.74204995,-72.61359405,1,707404.409547381,5709143.8426393,4
"61",5578,0,161308,257.63,311.05,0,1,1,-38.73584477,-72.59925608,1,708668.761418334,5709799.93779668,4
"62",5578,0,182383,290.88,306.23,1,0,1,-38.74387407,-72.62726745,1,706210.644620223,5708972.29755121,4
"63",5578,0,219532,234.58,292.76,1,0,1,-38.736921,-72.61649915,1,707166.720655949,5709719.67191948,4
"64",5578,0,257433,293.48,309.22,1,0,1,-38.73260572,-72.6210361,1,706784.78311322,5710208.87429284,4
"65",5578,0,333240,316.86,264.48,0,1,1,-38.74110999,-72.62995797,1,705984.732489188,5709285.13537002,4
"66",5578,0,777256,339.35,327.47,1,0,1,-38.74527678,-72.62456843,1,706441.19994261,5708810.52778366,4
"67",5578,0,1100163,228.94,290.41,0,1,1,-38.73733365,-72.61990994,1,706869.036511904,5709681.59007517,4
