"","rbd","nom_rbd","latitud","longitud","latitud_gps","longitud_gps","prom_lect4b_rbd","prom_mate4b_rbd","COD_DEPE","alu_vul","alu_mat","PAGO_MATRICULA","PAGO_MENSUAL"
"1",5569,"LICEO GABRIELA MISTRAL DE TEMUCO",709172.732539457,5709286.88571856,-38.740345,-72.593307,263,248,2,16,22,"GRATUITO","GRATUITO"
"2",5575,"ESCUELA ARTURO PRAT",709749.736633003,5709247.96283848,-38.740559,-72.586662,254,235,2,36,37,"GRATUITO","GRATUITO"
"3",5578,"ESCUELA LLAIMA",706762.92781399,5709918.46451145,-38.735226,-72.621201,290,283,2,112,139,"GRATUITO","GRATUITO"
"4",5580,"ESCUELA CAMPOS DEPORTIVOS",707096.952930059,5710716.44084812,-38.727962,-72.617599,280,260,2,91,99,"GRATUITO","GRATUITO"
"5",5582,"ESCUELA STANDAR",710303.505549081,5710112.47452899,-38.732643,-72.580559,240,223,2,21,24,"GRATUITO","GRATUITO"
"6",5583,"ESCUELA SANTA ROSA",711144.151128058,5709851.67280023,-38.734791,-72.570816,256,250,2,21,22,"GRATUITO","GRATUITO"
"7",5585,"ESCUELA VILLA ALEGRE",707216.442692936,5711226.81578665,-38.723339,-72.616379,276,246,2,15,15,"GRATUITO","GRATUITO"
"8",5588,"ESCUELA MANUEL RECABARREN",706234.662952785,5707309.68094141,-38.758839,-72.626495,264,237,2,17,19,"GRATUITO","GRATUITO"
"9",5589,"ESCUELA MILLARAY",706581.927971071,5709644.39432912,-38.737736,-72.623199,270,254,2,37,51,"GRATUITO","GRATUITO"
"10",5590,"COMPLEJO EDUC. UN AMANECER EN LA ARAUCA",706598.071785181,5707354.47200143,-38.75835,-72.62233,255,219,2,26,26,"GRATUITO","GRATUITO"
"11",5592,"ESCUELA ANDRES BELLO",708413.39964962,5708927.20898311,-38.743763,-72.601929,280,274,2,13,15,"GRATUITO","GRATUITO"
"12",5596,"COLEGIO MUNDO MAGICO",707159.092013989,5708999.38628,-38.743408,-72.616371,284,259,2,70,89,"GRATUITO","GRATUITO"
"13",5597,"COLEGIO ALONSO DE ERCILLA",711830.869170544,5711464.17930556,-38.720108,-72.563416,286,278,2,41,51,"GRATUITO","GRATUITO"
"14",5601,"ESCUELA MUNICIPAL EL TRENCITO",710170.544616351,5709099.57966446,-38.741795,-72.581779,257,268,2,15,15,"GRATUITO","GRATUITO"
"15",5604,"ESCUELA PEDRO DE VALDIVIA",707565.32273619,5710809.30547,-38.727016,-72.612244,281,254,2,13,14,"GRATUITO","GRATUITO"
"16",5606,"ESCUELA VILLA CAROLINA",706780.892864714,5711784.67554229,-38.718418,-72.621552,246,235,2,32,32,"GRATUITO","GRATUITO"
"17",5608,"ESCUELA LOS AVELLANOS",707688.700640759,5708188.64402166,-38.750584,-72.610039,283,272,2,19,23,"GRATUITO","GRATUITO"
"18",5611,"ESCUELA LOS TRIGALES",705989.254547868,5710052.92724345,-38.734196,-72.630135,279,244,2,40,62,"GRATUITO","GRATUITO"
"19",5639,"ESCUELA LIRCAY",704626.27354987,5711764.10231,-38.719105,-72.646309,220,194,2,2,2,"GRATUITO","GRATUITO"
"20",5652,"COLEGIO PROVIDENCIA DE TEMUCO",710047.512098879,5710261.01362609,-38.731367,-72.583547,285,257,3,36,41,"GRATUITO","GRATUITO"
"21",5654,"INSTITUTO CLARET",710039.737810945,5709397.5182498,-38.739143,-72.583374,265,258,3,220,247,"GRATUITO","GRATUITO"
"22",5659,"ESCUELA Y LICEO MONTESSORI",709133.93568997,5709408.17979126,-38.739262,-72.59379,297,289,3,24,57,"GRATUITO","$25.001 A $50.000"
"23",5661,"LICEO ADVENTISTA DE TEMUCO",704053.599147276,5712120.15083263,-38.716031,-72.652996,275,256,3,54,73,"$1.000 A $10.000","$50.001 A $100.000"
"24",5664,"LICEO AUGUSTO WINTER",712215.605897604,5712188.87887918,-38.713491,-72.559216,291,274,3,41,44,"GRATUITO","GRATUITO"
"25",5668,"ESCUELA BASICA VISTA VERDE",704888.045283519,5707659.68728366,-38.756001,-72.642085,266,262,3,25,27,"GRATUITO","GRATUITO"
"26",5669,"COLEGIO MADRE ADMIRABLE DE SCHOENSTATT",710786.42564272,5710278.42873195,-38.731034,-72.575058,306,279,3,26,35,"GRATUITO","GRATUITO"
"27",5670,"COLEGIO SAN FRANCISCO",708591.54534478,5709702.81432899,-38.736737,-72.600114,271,253,3,38,55,"GRATUITO","$25.001 A $50.000"
"28",5675,"ESCUELA PARTICULAR ARTURO ARRIAGADA",706322.045761467,5707937.26009355,-38.753168,-72.625678,300,234,3,7,7,"GRATUITO","GRATUITO"
"29",5680,"ESC.PART.SAN FRANCISCO DE ASIS DE TEMUC",707565.743476725,5709207.25501814,-38.741441,-72.611758,287,274,3,50,67,"GRATUITO","GRATUITO"
"30",5682,"ESCUELA PARTICULAR FRANCIA",709607.029146257,5709090.27833699,-38.742012,-72.588255,285,259,3,32,35,"GRATUITO","GRATUITO"
"31",5684,"ESCUELA PART. WENCESLAO VALDIVIA",710447.326991203,5708836.16255305,-38.7441,-72.578517,245,259,3,6,6,"GRATUITO","GRATUITO"
"32",5686,"ESCUELA PARTICULAR EL ROBLE",706342.465439118,5710444.82934662,-38.730585,-72.626191,258,227,3,9,10,"GRATUITO","GRATUITO"
"33",5690,"ESCUELA PARTICULAR LA ESPIGA",707849.345639326,5710612.96876623,-38.728717,-72.60892,212,197,3,18,18,"GRATUITO","GRATUITO"
"34",5693,"ESCUELA PARTICULAR ESTRELLA DE BELEN",710092.335557327,5708823.62879356,-38.744298,-72.582595,217,198,3,4,5,"GRATUITO","GRATUITO"
"35",5694,"ESCUELA PARTICULAR ALIANZA",711481.593287299,5710297.21406923,-38.730699,-72.567073,262,210,3,2,2,"GRATUITO","GRATUITO"
"36",5697,"ESCUELA PARTICULAR LAS AMERICAS",706885.230528194,5711843.04696078,-38.717868,-72.62037,264,239,3,34,35,"GRATUITO","GRATUITO"
"37",5698,"ESCUELA PARTICULAR ARAUCANIA",710737.768861955,5709547.12411287,-38.73763,-72.575395,268,250,3,17,20,"GRATUITO","GRATUITO"
"38",5703,"LICEO TECNICO PROF. CENTENARIO",711081.845260503,5709269.76862265,-38.740045,-72.571355,275,262,3,33,33,"GRATUITO","GRATUITO"
"39",5706,"ESCUELA PARTICULAR SAN JUAN",711763.855734092,5710096.60854635,-38.732437,-72.563767,264,256,3,26,29,"GRATUITO","GRATUITO"
